base,spot_price,perp_price,openInterest,market_cap,fdv
BTC,110200.0,110322.5,78123.271,2199651921040,2199651921040
ETH,3861.13,3861.59,1571621.8,466244820460,466244820460
BNB,1089.55,1089.24,506428.53,150188736843,150188736843
NEO,4.995,4.98,1214717.29,351825732,498831323
LTC,96.15,96.16,1005781.722,7347897754,7348044290
QTUM,1.879,1.869,2050066.4,198566788,202223043
ADA,0.6125,0.6112,164897144.0,22386679823,27538880688
XRP,2.5158,2.5161,196119089.0,151218059771,251544822585
TUSD,0.9971,,,493511908,493511908
IOTA,0.1388,0.1381,40946651.8,570837170,656560809
XLM,0.3047,0.30397,124638281.0,9758873970,15225651762
ONT,0.087,0.0867,23933178.5,79812158,86859549
TRX,0.2958,0.29568,393072645.0,27996440379,27996624323
ETC,16.0,15.943,1753091.11,2465394623,2465394623
ICX,0.0832,0.0829,22493825.0,89556439,90821215
VET,0.01585,0.015801,571683094.0,1362570515,1362570515
USDC,1.0003,0.999743,5110216.0,75911679811,75918461709
LINK,17.31,17.268,5832681.95,12058844321,17304792756
ONG,0.1096,0.10912,5969777.0,47023528,109508324
HOT,0.000628,0.000625,2382674247.0,111312770,111312770
ZIL,0.0075,0.00747,384156508.0,146709770,151815442
ZRX,0.1871,0.1865,17194457.6,158657042,187008116
FET,0.2362,0.2362,97747210.0,615990631,641892147
BAT,0.1655,0.1649,49417126.7,247638378,248348330
ZEC,434.2,424.99,576443.534,7059017237,7059210021
IOST,0.002209,0.002199,825857862.0,63689552,63689552
CELR,0.005405,0.00538,232960293.0,30533683,54085426
DASH,55.53,55.22,346232.957,692903257,692919169
THETA,0.493,0.4925,11303504.5,493109780,493109780
ENJ,0.0419,0.04172,50425963.0,79506959,81148551
ATOM,2.978,2.966,9217389.89,1416491770,1416491770
TFUEL,0.02408,,,171432176,171439996
ONE,0.00569,0.00565,456363393.0,83731399,83733176
ALGO,0.1783,0.1776,65412495.1,1564081041,1564081041
DOGE,0.18696,0.18653,1473309006.0,28312969341,28317955340
DUSK,0.0435,0.04323,32639511.0,21738301,21738301
ANKR,0.00973,0.00969,196504993.0,97256154,97256154
WIN,3.725e-05,,,36861733,37058269
COS,0.001889,0.001885,620041848.0,9783471,18711828
MTL,0.445,0.4425,2901148.0,38973086,38973086
DENT,0.000417,0.000414,3839067734.0,39830955,41640240
WAN,0.0729,,,14476239,15299032
FUN,0.003172,0.003177,579083337.0,33557974,34827595
CVC,0.0578,0.0575,16170837.0,46314939,57749300
CHZ,0.03099,0.0308,182801991.0,311741006,311741006
BAND,0.513,0.5086,3795173.6,85351892,85667158
XTZ,0.5806,0.577,13945035.0,616574463,628200041
RVN,0.00955,0.0095,272343359.0,150411452,150426299
HBAR,0.20332,0.20258,275791552.0,8671544800,10207766755
NKN,0.0182,0.0181,64718034.0,14421590,14425609
STX,0.4191,0.4172,14186602.0,757125437,757125437
KAVA,0.1279,0.1269,63521920.0,138402891,138402891
ARPA,0.01779,0.01769,73618008.0,17451432,35536314
IOTX,0.01119,0.01113,249861449.0,105510452,105510452
RLC,0.837,0.8342,1833523.8,60500340,72718034
BCH,545.2,544.6,270153.964,10863797352,10863797352
FTT,0.8649,,,0.0,283968873
EUR,1.1549,,,,
OGN,0.0455,0.0452,32205366.0,29415973,64103050
LSK,0.204,0.203,5960352.0,42229805,81318701
BNT,0.5805,0.5792,2206730.0,64471792,64471792
MBL,0.001354,,,25540756,40622801
COTI,0.0326,0.03238,67475477.0,80001593,80001805
DATA,0.00741,,,5689127,7420214
SOL,187.22,186.8,7894317.77,103326014298,114638607219
CTSI,0.0491,0.0488,46557596.0,43362075,48959407
HIVE,0.1247,0.12405,8557933.0,61605939,
CHR,0.0792,0.0785,23121390.0,67067847,67067847
ARDR,0.06391,,,63832143,63832143
MDT,0.01978,,,11978059,19755350
KNC,0.2901,0.2891,5771024.0,49318805,69725048
LRC,0.0672,0.06683,36332144.0,83617674,92199747
COMP,34.92,34.72,281098.47,336320744,348899966
SC,0.001925,,,107583307,118947449
ZEN,15.736,15.542,1366813.7,277303451,331488047
SNX,1.013,1.011,14389465.4,347813470,348242465
VTHO,0.00111,0.001105,1321407319.0,106226839,106325443
DGB,0.006,,,107948816,107988591
SXP,0.1125,0.1122,15118884.2,74224461,74398716
DCR,16.61,,,283025913,283030071
STORJ,0.1702,0.1686,12367706.0,24425448,72195564
MANA,0.2297,0.228,28863755.0,439826535,502627634
YFI,4697.0,4679.0,1010.656,159242052,171949273
