base,spot_price,perp_price,openInterest,market_cap,fdv
ALL,,0.8764,1720377.0,1555049.0,1555049.0
1000X,,0.03302,23627425.0,2438294.0,2438294.0
MAVIA,,0.0798,8796939.0,4114528.0,19927314.0
RECALL,,0.55394,17977786.0,6036119.0,30019715.0
BDXN,,0.04777,87052907.0,7701015.0,48131342.0
EPT,,0.00363,745803746.0,8444518.0,36452469.0
MON,,0.06876,28657792.0,9371414.0,16395338.0
TAC,,0.00471,234042591.0,9550359.0,47199095.0
SKATE,,0.04526,57202203.0,9714270.0,45391494.0
MILK,,0.03763,29829935.0,9830115.0,45369760.0
TA,,0.05646,102101760.0,10085514.0,56030631.0
FHE,,0.04231,83226173.0,10515675.0,42231628.0
PLAY,,0.02839,71677513.0,10578108.0,141607875.0
TANSSI,,0.03763,51418855.0,11104308.0,37958356.0
DMC,,0.003072,482300334.0,11364711.0,38264737.0
ARC,,0.01196,273776887.0,11958078.0,11958078.0
OBOL,,0.09749,19360436.0,12370235.0,48759303.0
BULLA,,0.0449,27212068.0,12383930.0,44228320.0
DAM,,0.06367,61148180.0,12477831.0,62391742.0
HIPPO,,0.001259,2406851281.0,12648199.0,12648199.0
HANA,,0.0539,166025839.0,12916200.0,53817498.0
KOMA,,0.02134,175756616.0,13090818.0,13090818.0
BR,,0.06079,14453481.0,13343027.0,60650122.0
SWARMS,,0.01447,284386325.0,14428762.0,14428762.0
XNY,,0.00591,489160236.0,14785489.0,59141955.0
BID,,0.05498,19747186.0,14847386.0,54928157.0
CUDIS,,0.06016,35321363.0,14925512.0,60305101.0
PIPPIN,,0.01541,454395583.0,15285003.0,15285003.0
BTR,,0.05942,25595497.0,15532195.0,59373833.0
PORT3,,0.03262,110590661.0,16310402.0,32630774.0
SWELL,,0.006361,142803529.0,16865128.0,63623569.0
OL,,0.02328,27709651.0,18158667.0,116359466.0
YALA,,0.0799,31647763.0,19686098.0,79907852.0
LAB,,0.25996,11407716.0,19755553.0,258087000.0
PROMPT,,0.0885,16145432.0,19846683.0,88640713.0
VELVET,,0.22354,21558560.0,20924570.0,230270866.0
GRIFFAIN,,0.02173,98993138.0,21810968.0,21810968.0
IDOL,,0.02519,50989147.0,22785996.0,121202106.0
AIN,,0.13247,28813134.0,24573130.0,132612681.0
TOKEN,,0.00847,184422862.0,24827686.0,84828245.0
TRUTH,,0.012547,229208041.0,26169782.0,125496164.0
F,,0.009698,126882756.0,26503140.0,97742570.0
VFY,,0.08706,37922352.0,26560666.0,86744527.0
EVAA,,4.138,2533605.6,27026405.0,204189481.0
CHILLGUY,,0.027,53014999.0,27072232.0,27072232.0
ARIA,,0.14934,16167504.0,27412927.0,149797414.0
SKYAI,,0.0279,120219250.0,28012953.0,28012953.0
ZKJ,,0.0761,23526300.7,28138559.0,75947528.0
PUFFER,,0.09332,11586699.0,28217633.0,93545717.0
SAPIEN,,0.12116,11008189.0,30648655.0,122594620.0
NAORIS,,0.05151,81815189.0,31067404.0,207371787.0
ESPORTS,,0.20649,12473582.0,31536705.0,186976513.0
LYN,,0.15904,29450324.0,33299386.0,159327205.0
ZRC,,0.01549,39128248.0,34104130.0,155377308.0
IN,,0.14861,25018544.0,34149107.0,149558135.0
AIO,,0.14935,16963550.0,34395463.0,149383119.0
PONKE,,0.06219,15569804.0,34647687.0,34651560.0
AERGO,,0.07502,22056029.0,35467564.0,37531814.0
ICNT,,0.2111,6785618.0,35505345.0,148629002.0
SLERF,,0.28702,39222779.0,35852211.0,35852211.0
TRADOOR,,2.536,1284433.0,36610439.0,153085675.0
TAG,,0.0003378,5358992800.0,36737535.0,136799873.0
CROSS,,0.11121,11059635.0,37447434.0,110058322.0
AKE,,0.001646,1497293787.0,37739238.0,165550201.0
Q,,0.02492,288759676.0,39968645.0,247330724.0
STBL,,0.08104,116367692.0,40635656.0,812713112.0
MET,,0.9725,2619233.0,41226798.0,215011104.0
ZEREBRO,,0.04194,453616466.0,41758859.0,41758859.0
CLO,,0.3417,20654963.0,44589197.0,345384947.0
SONIC,,0.1246,27468565.2,45149225.0,300994834.0
TAKE,,0.31732,34221630.0,46271899.0,315516701.0
FLOCK,,0.1958,7597233.0,46406019.0,195720170.0
VINE,,0.04635,72785769.0,46440383.0,46440383.0
TAIKO,,0.2534,2842030.0,47338545.0,254057738.0
CARV,,0.1598,10932281.0,47377149.0,160402641.0
XPIN,,0.0032298,6670829901.0,51537515.0,333252602.0
LIGHT,,1.2296,10610737.0,53008303.0,517070438.0
GOAT,,0.05296,43029346.0,53018314.0,53018314.0
AIOT,,0.4886,3262608.0,54623973.0,485474508.0
BAN,,0.05609,83739402.0,55888170.0,55888170.0
DOOD,,0.007509,578942566.0,58977550.0,75612244.0
VVV,,1.531,1649911.51,61099166.0,116592618.0
ALCH,,0.07202,263675123.0,61179155.0,71972233.0
AI16Z,,0.0574,85873250.7,63155833.0,63155833.0
SIREN,,0.09277,12306031.0,67413708.0,67413708.0
B3,,0.002252,1167180703.0,68119669.0,224835323.0
RIVER,,3.534,385984.2,68991994.0,351999968.0
PTB,,0.03372,111251901.0,70118744.0,178046621.0
JELLYJELLY,,0.07146,891053587.0,71306077.0,71306077.0
DEGEN,,0.00197,455038356.0,72932556.0,72932556.0
ORDER,,0.22591,11865944.0,73788242.0,227225641.0
B2,,1.821,6651422.0,76034022.0,384325630.0
MELANIA,,0.1054,26758207.31,83069003.0,105484530.0
BANK,,0.19657,83899196.0,84277937.0,84277937.0
PUMPBTC,,0.04171,60093674.0,84531774.0,84531774.0
XAN,,0.03536,183231456.0,88405406.0,353621622.0
AIA,,0.9498,7562520.0,94261455.0,947351311.0
UB,,0.038503,234316918.0,95621937.0,382487747.0
KGEN,,0.52288,32645623.0,105149616.0,529246988.0
ETHW,,0.9856,1158638.0,106593342.0,106593342.0
MOODENG,,0.10852,62885077.0,107797685.0,107797685.0
GIGGLE,,115.29,139401.34,115382929.0,115382929.0
BLESS,,0.06543,161667387.0,119562577.0,649208541.0
ZETA,,0.1136,14339882.0,121905761.0,238787045.0
SQD,,0.15061,10466242.0,128782444.0,202018686.0
4,,0.14033,134457743.0,141693835.0,141693835.0
GRASS,,0.4537,7349969.3,142348820.0,454265855.0
POPCAT,,0.1471,37789636.0,144477006.0,144477006.0
MEW,,0.001869,1675163557.0,166531722.0,166531722.0
