base,spot_price,perp_price,openInterest,market_cap,fdv
VOXEL,0.0392,0.03985,64743168.0,9598283.0,11836947.0
CHESS,0.0475,0.04751,35436410.0,9755889.0,14238789.0
FIO,0.01192,0.01195,209799289.0,9800063.0,11910519.0
ALPINE,0.883,0.8874,3250953.8,10054161.0,35401974.0
BMT,0.0394,0.03965,37387320.0,10117514.0,39493630.0
AI,0.0778,0.07798,21444377.0,10127147.0,77901134.0
COS,0.002122,0.002125,551720741.0,10988610.0,21016772.0
FIS,0.0709,0.07199,31993051.0,11000546.0,11000546.0
LUMIA,0.151,0.1516,9092781.1,11417637.0,36219115.0
FLM,0.0209,0.0209,101953428.0,11698177.0,11698177.0
ASR,1.562,1.564,1179734.5,12447684.0,15671071.0
PIXEL,0.0176,0.01768,89472936.0,13580984.0,88069069.0
CATI,0.0659,0.06625,33614957.0,13628121.0,66155926.0
QUICK,0.01819,0.01828,44109525.0,13773900.0,18711179.0
D,0.02392,0.02404,34784760.0,15410547.0,19169954.0
PORTAL,0.0263,0.02635,63116051.5,15544828.0,26316851.0
GHST,0.306,0.307,3997241.0,15659324.0,16146199.0
PERP,0.2175,0.2193,6586247.9,15882888.0,32811427.0
NKN,0.02,0.02016,55650354.0,15953025.0,15956286.0
MLN,5.38,5.433,200204.53,16114005.0,16114005.0
C,0.1038,0.10434,18731900.0,16649141.0,104057133.0
SYN,0.0793,0.0797,20031765.0,17385122.0,19840003.0
ATA,0.0299,0.0298,59182537.0,17572800.0,29896289.0
HEI,0.23,0.23,9865197.6,18366874.0,23013914.0
SANTOS,1.373,1.378,878820.5,18466392.0,41358550.0
VIC,0.1509,0.1514,8572527.0,18546355.0,31680138.0
HAEDAL,0.0953,0.09583,17737322.0,18620112.0,95487754.0
RESOLV,0.0581,0.05859,42938345.0,19198946.0,58323044.0
DF,0.01951,0.0196,64834079.0,19537746.0,19537746.0
PARTI,0.0837,0.0841,33383731.0,19554976.0,83926936.0
ARPA,0.02058,0.02063,120757422.0,20232995.0,41200405.0
HOOK,0.0687,0.06898,23477619.1,20266232.0,34349546.0
TST,0.02165,0.02172,248285414.0,20476263.0,20476263.0
GTC,0.215,0.217,11362288.8,20896653.0,21680460.0
TNSR,0.0636,0.0638,29159593.8,21360068.0,63836239.0
TUT,0.02567,0.02576,196433687.0,21497566.0,21497566.0
TLM,0.00355,0.00356,276550367.0,21705280.0,24252635.0
TOWNS,0.0103,0.0104,162507232.0,21811223.0,104728940.0
NFP,0.0437,0.044,30063395.0,22131425.0,43915070.0
MITO,0.11098,0.11124,14744410.0,22499222.0,111155589.0
BEL,0.2834,0.287,20057690.0,22692323.0,28365404.0
ACE,0.301,0.3022,4610902.53,23601083.0,44238766.0
GUN,0.0197,0.01981,66887642.0,23805165.0,197635240.0
OXT,0.0405,0.04055,34543655.0,23974812.0,40529161.0
DUSK,0.0486,0.04876,26958420.0,24311497.0,24311497.0
